stem,storage_day,gt_class,pred_class,area,circularity,opt_volume
20110511_1,0,0,1,1302.0,0.19750074005541762,1521267.0
20110511_2,0,0,1,709.5,0.37366723070920793,1342857.0
20110511_3,0,0,1,1664.0,0.17025861501286144,1970088.0
20110511_4,0,0,1,2146.0,0.12198070305484274,1717652.0
20110511_5,0,0,1,730.0,0.37751950441674215,1315545.0
20110511_6,0,0,1,1862.0,0.14620548341847098,1517788.0
20110516_1,5,0,1,963.5,0.33155904363204747,1669207.0
20110516_2,5,0,1,1471.5,0.2414279978728389,1933753.0
20110516_3,5,0,1,2227.5,0.1635807271614391,2496044.0
20110516_5,5,0,1,1405.0,0.19532532984705248,1994252.0
20110516_6,5,0,1,2510.0,0.15345902634857161,1677446.0
20110516_7,5,0,1,1407.0,0.23497677455243607,2329904.0
20110519_1,8,0,1,4807.5,0.09395882621152384,2182791.0
20110519_10,8,0,1,3329.0,0.10677527778443854,2182753.0
20110519_4,8,0,1,3636.5,0.07672127737790352,1926382.0
20110519_5,8,0,1,3504.5,0.12649853487473883,1549979.0
20110519_7,8,0,1,3105.0,0.1546279431996418,2044432.0
20110519_8,8,0,1,3859.5,0.10996503350301771,1764450.0
20110523_2,12,0,1,3947.5,0.1680789744659768,2206859.0
20110523_3,12,0,1,5683.5,0.05960409366248595,2541314.0
20110523_4,12,0,1,2014.5,0.17530472495138869,2396723.0
20110523_6,12,0,1,4829.0,0.08226500781632126,2145582.0
20110523_7,12,0,1,2381.5,0.23394297371630338,2230561.0
20110523_9,12,0,1,3265.0,0.12089659183540832,2517873.0
20110526_2,15,0,1,3026.5,0.29210020669073583,2484309.0
20110526_3,15,0,1,5988.0,0.0765311241521133,3248116.0
20110526_5,15,0,1,7001.5,0.07851369463719102,3314685.0
20110526_6,15,0,1,7477.5,0.0680442474010327,2892397.0
20110526_7,15,0,1,6259.0,0.059858659390626894,2913325.0
20110526_8,15,0,1,11614.0,0.042894823268999044,3277018.0
20110530_4,19,0,1,954.5,0.503626016414241,1418721.0
20110530_5,19,0,1,1317.5,0.27299076620040846,1437784.0
20110530_6,19,0,1,1269.5,0.2688788856247824,1630518.0
20110530_7,19,0,1,1265.5,0.17800669395172544,1640108.0
20110530_8,19,0,1,1800.0,0.1646979212577298,1771038.0
20110530_9,19,0,1,813.0,0.41059731688494183,1191523.0
20110603_1,23,0,4,337.5,0.46643766999111264,550277.0
20110603_10,23,0,1,1407.0,0.21948641376867645,1354686.0
20110603_3,23,0,1,785.0,0.3371428486794,1275717.0
20110603_5,23,0,1,881.0,0.29556181224329675,1524382.0
20110603_6,23,0,1,928.0,0.232363148180886,1336281.0
20110603_9,23,0,1,636.5,0.4958124700664633,1109430.0
20110607_1,27,0,1,1101.5,0.20229393284219024,760861.0
20110607_2,27,0,1,534.5,0.4623698623011591,800652.0
20110607_3,27,0,1,792.5,0.2474589901428824,795394.0
20110607_4,27,0,1,657.0,0.44808335587236087,752062.0
20110607_7,27,0,1,1091.5,0.34892542963338896,1380032.0
20110607_9,27,0,1,731.5,0.48865816670035406,1166669.0
20110610_1,30,0,1,1404.0,0.1807231194147603,1970234.0
20110610_10,30,0,1,721.0,0.4364334955451753,1363280.0
20110610_3,30,0,1,1421.5,0.1710295818462951,1890512.0
20110610_4,30,0,1,2195.5,0.16765263382859277,1835693.0
20110610_6,30,0,1,1394.5,0.19506916245562228,1696234.0
20110610_9,30,0,1,851.5,0.19976662590257785,1096228.0
20110617_1,37,0,1,761.5,0.25177842486920204,888991.0
20110617_10,37,0,1,516.0,0.5174641090193699,585699.0
20110617_3,37,0,1,875.5,0.30172521168103905,1300949.0
20110617_6,37,0,1,919.5,0.4021935841125797,1238211.0
20110617_8,37,0,1,543.5,0.27897041482304025,951578.0
20110617_9,37,0,1,705.5,0.3796615454721372,725075.0
20110627_1,47,0,2,569.5,0.3785420712085061,1170106.0
20110627_10,47,0,2,1413.5,0.1244421992517597,1213232.0
20110627_3,47,0,3,483.0,0.47728005339532403,1368109.0
20110627_4,47,0,3,352.0,0.7217777777088993,1049597.0
20110627_5,47,0,1,728.5,0.3474271685707241,1064911.0
20110627_6,47,0,3,354.0,0.7713634832643234,947913.0
