stem,storage_day,gt_class,pred_class,area,circularity,opt_volume
20110511_1,0,0,1,21968.0,0.2538059715309678,24772446.0
20110511_2,0,0,1,12453.0,0.48492582965214676,21987596.0
20110511_3,0,0,1,17881.0,0.3954085103008496,32196502.0
20110511_4,0,0,1,48341.0,0.1427530828310649,27911792.0
20110511_5,0,0,1,14560.5,0.39610519673247496,21413492.0
20110511_6,0,0,1,34775.5,0.33719668517070633,24997170.0
20110516_1,5,0,1,16206.0,0.5091504068719569,27115028.0
20110516_2,5,0,1,21838.0,0.378241426153369,31311474.0
20110516_3,5,0,1,43647.0,0.1795687012653906,40750412.0
20110516_5,5,0,1,31802.5,0.15728536876004304,32581104.0
20110516_6,5,0,1,48629.0,0.15359156967995544,27114856.0
20110516_7,5,0,1,22606.0,0.4096664759509129,37769376.0
20110519_1,8,0,1,82838.0,0.16089521366150678,35606532.0
20110519_10,8,0,1,60251.0,0.13514159894058558,35771524.0
20110519_4,8,0,1,27299.0,0.34282789267216157,30924870.0
20110519_5,8,0,1,58405.5,0.21396465071735338,25053534.0
20110519_7,8,0,1,55849.0,0.16576799750964485,33548360.0
20110519_8,8,0,1,67346.0,0.2036939893454679,28975958.0
20110523_2,12,0,1,61442.0,0.12871125649029466,34986504.0
20110523_3,12,0,1,223422.0,0.03866916650528565,41394080.0
20110523_4,12,0,1,35966.0,0.27338603228816377,39543004.0
20110523_6,12,0,1,82629.0,0.14040485490274415,34749076.0
20110523_7,12,0,1,49285.5,0.17356688973385742,37445884.0
20110523_9,12,0,1,99539.5,0.09748494735971129,41005776.0
20110526_2,15,0,1,91611.5,0.13086273325436196,41860560.0
20110526_3,15,0,1,422946.5,0.07416396554461553,57376072.0
20110526_5,15,0,1,213883.0,0.09680594496225203,56671856.0
20110526_6,15,0,1,191253.0,0.10267174284566123,49069544.0
20110526_7,15,0,1,112718.5,0.11516362647837848,48076016.0
20110526_8,15,0,1,230277.5,0.08510829036366672,55167112.0
20110530_4,19,0,1,15152.0,0.4429020570929941,22379656.0
20110530_5,19,0,1,22879.5,0.41761426288159614,23287716.0
20110530_6,19,0,1,21988.0,0.3366782180269055,26120396.0
20110530_7,19,0,1,23232.0,0.39265930425675466,27010226.0
20110530_8,19,0,1,31512.5,0.2924384089569899,28660602.0
20110530_9,19,0,1,14748.0,0.47554570913795224,19352776.0
20110603_1,23,0,1,4954.0,0.4382946240487429,8264604.0
20110603_10,23,0,1,23791.5,0.2881123721817062,21331690.0
20110603_3,23,0,1,14461.5,0.4421722694071184,20609324.0
20110603_5,23,0,1,13266.5,0.43569295880523806,24419408.0
20110603_6,23,0,1,15236.0,0.4331546798933661,21809966.0
20110603_9,23,0,1,10518.5,0.5548340976695054,17728852.0
20110607_1,27,0,1,19034.0,0.28251998100725056,12259839.0
20110607_2,27,0,1,10629.0,0.5208191171325721,12754186.0
20110607_3,27,0,1,12443.5,0.58611589806269,12497675.0
20110607_4,27,0,1,11654.5,0.5739482394018948,12302147.0
20110607_7,27,0,1,18626.0,0.3731653098754724,22522972.0
20110607_9,27,0,1,22715.5,0.2829152196728015,18704578.0
20110610_1,30,0,1,41339.5,0.14773425474305224,32209050.0
20110610_10,30,0,1,23953.0,0.27001245535775287,22559634.0
20110610_3,30,0,1,27978.5,0.22616739963666294,31014174.0
20110610_4,30,0,1,36018.5,0.21772311795454097,30206850.0
20110610_6,30,0,1,14005.0,0.4374605866292056,28290570.0
20110610_9,30,0,1,13207.5,0.2997718694720581,18342618.0
20110617_1,37,0,1,9509.5,0.5944090406287867,14382433.0
20110617_10,37,0,1,8315.0,0.5780485580489777,9836783.0
20110617_3,37,0,1,16092.0,0.46988685893293114,21473090.0
20110617_6,37,0,2,19702.0,0.2914219411060415,20518042.0
20110617_8,37,0,1,8796.0,0.5732751025291768,15706398.0
20110617_9,37,0,1,12425.0,0.498724910242559,11890110.0
20110627_1,47,0,2,13675.0,0.33415277831440443,19471732.0
20110627_10,47,0,2,12546.5,0.4311137761143473,20767568.0
20110627_3,47,0,2,13574.0,0.25297131068973694,22866536.0
20110627_4,47,0,2,8985.5,0.3238725873704239,18367496.0
20110627_5,47,0,2,17490.5,0.3703229303047602,17768426.0
20110627_6,47,0,2,6929.0,0.5072023883854438,15922289.0
