Architecture,Category,Loss Config,Rank,stem,storage_day,gt_class,pred_class,area,circularity,opt_volume,mean_phase,max_phase,dry_mass
dice_only,ABLATION,dice_only,8,20110511_1,0.0,0.0,1.0,20327.0,0.35315892624851,24978042.0,114.20832824707033,252.546875,24978042.0
dice_only,ABLATION,dice_only,8,20110511_1,0.0,0.0,1.0,1366.0,0.2952110161916727,1473465.0,112.65884399414062,228.0,1473465.0
dice_only,ABLATION,dice_only,8,20110511_1,0.0,0.0,1.0,1112.0,0.2777298668162443,1506715.0,114.50072479248048,254.0,1506715.0
dice_only,ABLATION,dice_only,8,20110511_2,0.0,0.0,1.0,12737.0,0.5238472458787266,22227294.0,111.88949584960938,251.671875,22227294.0
dice_only,ABLATION,dice_only,8,20110511_2,0.0,0.0,1.0,766.5,0.5109793190890486,1353417.0,110.6636962890625,218.0,1353417.0
dice_only,ABLATION,dice_only,8,20110511_2,0.0,0.0,1.0,367.0,0.7996903883311839,1334894.0,113.16497039794922,244.0,1334894.0
dice_only,ABLATION,dice_only,8,20110511_3,0.0,0.0,1.0,29827.0,0.2156663957718577,32852866.0,130.5555419921875,228.609375,32852866.0
dice_only,ABLATION,dice_only,8,20110511_3,0.0,0.0,1.0,1084.0,0.3305739993169113,2037936.0,130.62855529785156,228.0,2037936.0
dice_only,ABLATION,dice_only,8,20110511_3,0.0,0.0,1.0,999.0,0.2601293840752523,1965219.0,132.5522003173828,228.0,1965219.0
dice_only,ABLATION,dice_only,8,20110511_4,0.0,0.0,1.0,52735.0,0.1858696671520463,28698220.0,136.9176788330078,251.390625,28698220.0
dice_only,ABLATION,dice_only,8,20110511_4,0.0,0.0,1.0,1382.5,0.2350544017607372,1723971.0,137.6643829345703,228.0,1723971.0
dice_only,ABLATION,dice_only,8,20110511_4,0.0,0.0,1.0,2028.5,0.0987422222112305,1690353.0,140.0922393798828,251.0,1690353.0
dice_only,ABLATION,dice_only,8,20110511_5,0.0,0.0,1.0,14682.0,0.3566837805137628,21122470.0,127.46109008789062,254.625,21122470.0
