stem,storage_day,gt_class,pred_class,area,circularity,opt_volume
20110511_1,0,0,1,1178.5,0.2530358016021361,1502687.0
20110511_2,0,0,1,732.5,0.38068942919976045,1351773.0
20110511_3,0,0,1,1139.0,0.28946152131440217,1991873.0
20110511_4,0,0,1,2307.5,0.12380942293042957,1758886.0
20110511_5,0,0,1,787.0,0.2887942046798117,1302161.0
20110511_6,0,0,1,2034.0,0.19069671708021327,1561883.0
20110516_1,5,0,1,961.0,0.3539559787629249,1640747.0
20110516_2,5,0,1,1096.5,0.2731238721447241,1864348.0
20110516_3,5,0,1,1507.5,0.19062997587321764,2463105.0
20110516_5,5,0,1,1961.5,0.14186283639300773,1968276.0
20110516_6,5,0,1,1392.0,0.23589905827483526,1653899.0
20110516_7,5,0,1,1311.5,0.19076926892299934,2309882.0
20110519_1,8,0,1,4725.5,0.09802705200879194,2163624.0
20110519_10,8,0,1,2573.0,0.1679751215997564,2200573.0
20110519_4,8,0,1,1741.0,0.31074877664041883,1949889.0
20110519_5,8,0,1,3572.0,0.13221075193138906,1558930.0
20110519_7,8,0,1,2792.0,0.14471163468135362,2037021.0
20110519_8,8,0,1,3953.5,0.14277443087823793,1756038.0
20110523_2,12,0,1,3721.0,0.11328093619708589,2215808.0
20110523_3,12,0,1,13504.5,0.038255003000475095,2655306.0
20110523_4,12,0,1,2153.0,0.22257176301310383,2456012.0
20110523_6,12,0,1,5036.5,0.1099798059949296,2135530.0
20110523_7,12,0,1,2936.0,0.13758202943513853,2227455.0
20110523_9,12,0,1,6561.0,0.05836415582144323,2527036.0
20110526_2,15,0,1,5011.5,0.06643866791191796,2447000.0
20110526_3,15,0,1,15580.5,0.029068503293646266,3275145.0
20110526_5,15,0,1,8774.5,0.16330225279550992,3261230.0
20110526_6,15,0,1,7016.0,0.062703545180161,2845999.0
20110526_7,15,0,1,4349.5,0.07584940145698182,2852310.0
20110526_8,15,0,1,12887.5,0.08261473756911235,3239863.0
20110530_4,19,0,1,1062.0,0.21609653731634698,1388873.0
20110530_5,19,0,1,1400.5,0.3333204291133781,1464642.0
20110530_6,19,0,1,1279.0,0.26808358086897394,1620575.0
20110530_7,19,0,1,1700.0,0.2151095855106057,1671319.0
20110530_8,19,0,1,1792.0,0.17840550879712236,1812170.0
20110530_9,19,0,1,872.5,0.4186009750392627,1186710.0
20110603_1,23,0,1,312.0,0.3653102786296335,545177.0
20110603_10,23,0,1,1401.0,0.22969424853875237,1335136.0
20110603_3,23,0,1,906.0,0.3518531478213866,1289671.0
20110603_5,23,0,1,802.0,0.5349693977656296,1417136.0
20110603_6,23,0,1,913.0,0.431537630352409,1315347.0
20110603_9,23,0,1,624.5,0.43585532525733367,1112238.0
20110607_1,27,0,1,1151.5,0.21092284244059742,782446.0
20110607_2,27,0,1,653.0,0.24711849025869673,811715.0
20110607_3,27,0,1,711.0,0.4283376558940463,782267.0
20110607_4,27,0,1,651.0,0.36084639091969584,755600.0
20110607_7,27,0,1,1040.0,0.29110794051363237,1369173.0
20110607_9,27,0,1,673.0,0.43309457029335074,1187390.0
20110610_1,30,0,1,1504.0,0.2585524338604497,1980573.0
20110610_10,30,0,1,765.0,0.42678268201989145,1382133.0
20110610_3,30,0,1,1442.5,0.19203349748969303,1800710.0
20110610_4,30,0,1,1658.5,0.1742256515581277,1823013.0
20110610_6,30,0,1,1352.0,0.20479909776027017,1710655.0
20110610_9,30,0,1,718.5,0.21742330099659113,1102386.0
20110617_1,37,0,1,390.0,0.6104892810220922,704973.0
20110617_10,37,0,1,531.0,0.44416706084908575,599761.0
20110617_3,37,0,1,1199.0,0.2743052738970278,1250101.0
20110617_6,37,0,1,2069.5,0.05191453657226343,1210138.0
20110617_8,37,0,1,455.5,0.37322610484044194,963152.0
20110617_9,37,0,1,583.5,0.12274837833930617,585922.0
20110627_1,47,0,2,652.5,0.12919678517863797,926491.0
20110627_10,47,0,2,942.0,0.2683621870755114,1115847.0
20110627_3,47,0,2,817.0,0.2323066079273553,1390862.0
20110627_4,47,0,2,520.0,0.23319435338629144,1081356.0
20110627_5,47,0,2,848.5,0.5178132995545097,1007588.0
20110627_6,47,0,2,383.5,0.2837355554798733,715483.0
