stem,storage_day,gt_class,pred_class,area,circularity,opt_volume
20110511_1,0,0,1,1108.0,0.27588609584006135,1547960.0
20110511_2,0,0,1,743.5,0.481515928416412,1389157.0
20110511_3,0,0,1,964.0,0.2827270812574201,2029835.0
20110511_4,0,0,1,1084.0,0.25453343723366234,1758876.0
20110511_5,0,0,1,526.0,0.5607736565980224,1337727.0
20110511_6,0,0,1,1568.5,0.161527092073386,1565546.0
20110516_1,5,0,1,978.0,0.4328117895297729,1736376.0
20110516_2,5,0,1,1010.5,0.24164316798332972,1977310.0
20110516_3,5,0,1,1479.5,0.21672178657564592,2542553.0
20110516_5,5,0,1,1129.0,0.3248121255980414,2081891.0
20110516_6,5,0,1,1014.0,0.35288170749832315,1685590.0
20110516_7,5,0,1,939.5,0.3325849696223655,2369627.0
20110519_1,8,0,1,2884.5,0.25310524971303083,2242173.0
20110519_10,8,0,1,2113.5,0.18126800137266003,2215846.0
20110519_4,8,0,1,1581.5,0.21128570252499643,1955319.0
20110519_5,8,0,1,2088.5,0.18768142761966797,1581918.0
20110519_7,8,0,1,2733.0,0.12254713865991441,2078984.0
20110519_8,8,0,1,3417.0,0.11305051616328679,1789289.0
20110523_2,12,0,1,2219.0,0.13894109930199075,2197116.0
20110523_3,12,0,1,3295.0,0.15638528182570255,2572478.0
20110523_4,12,0,1,2024.0,0.17262446773656823,2425832.0
20110523_6,12,0,1,1996.0,0.16153641790974807,2131746.0
20110523_7,12,0,1,1278.5,0.2723174311693312,2277518.0
20110523_9,12,0,1,2540.0,0.18024129536117645,2563116.0
20110526_2,15,0,1,3595.5,0.13090977914034804,2597480.0
20110526_3,15,0,1,3457.5,0.14140264868265212,3423076.0
20110526_5,15,0,1,3516.5,0.15526451235780633,3458117.0
20110526_6,15,0,1,2087.5,0.30764467805940504,2991219.0
20110526_7,15,0,1,2489.0,0.16095908196770523,2937204.0
20110526_8,15,0,1,9624.5,0.04460767435180193,3347630.0
20110530_4,19,0,1,886.5,0.35577152657792427,1419181.0
20110530_5,19,0,1,1315.5,0.28848683295977506,1471611.0
20110530_6,19,0,1,889.0,0.38117517897955977,1615572.0
20110530_7,19,0,1,812.0,0.38705040009393826,1680697.0
20110530_8,19,0,1,1856.0,0.18803191193181645,1821657.0
20110530_9,19,0,1,825.0,0.3557479822729319,1203560.0
20110603_1,23,0,1,187.5,0.8320938946621872,423602.0
20110603_10,23,0,1,1083.0,0.27743956518124663,1320967.0
20110603_3,23,0,1,862.0,0.32397674944674937,1262838.0
20110603_5,23,0,1,688.5,0.4844438156342819,1538442.0
20110603_6,23,0,1,676.0,0.40565367045758993,1362656.0
20110603_9,23,0,1,606.0,0.39464346481452545,1137035.0
20110607_1,27,0,1,836.5,0.29612275293773815,770426.0
20110607_2,27,0,1,547.5,0.4561610152313599,768768.0
20110607_3,27,0,1,760.0,0.4998592945486355,789900.0
20110607_4,27,0,1,656.0,0.4656493388939989,747182.0
20110607_7,27,0,1,682.0,0.49639060131877366,1378212.0
20110607_9,27,0,1,690.0,0.44313263843350287,1057533.0
20110610_1,30,0,1,829.0,0.3330737876063186,1960232.0
20110610_10,30,0,1,760.0,0.45606034107047216,1393518.0
20110610_3,30,0,1,1293.0,0.17176664457930185,1879440.0
20110610_4,30,0,1,1199.5,0.28562857465871105,1802032.0
20110610_6,30,0,1,829.5,0.3328961986503397,1664260.0
20110610_9,30,0,1,511.5,0.5562358612389704,1091170.0
20110617_1,37,0,1,517.5,0.423055802448917,872936.0
20110617_10,37,0,1,485.5,0.4508647163499798,553767.0
20110617_3,37,0,1,929.0,0.33560072301174526,1323362.0
20110617_6,37,0,1,667.5,0.5216101477821306,1265338.0
20110617_8,37,0,1,530.5,0.4480210071532118,860182.0
20110617_9,37,0,1,445.5,0.8288682448749837,725226.0
20110627_1,47,0,1,540.5,0.4169026258647672,1185103.0
20110627_10,47,0,1,397.5,0.3877703568451346,1142044.0
20110627_3,47,0,3,566.0,0.27489635525401235,1370928.0
20110627_4,47,0,1,360.5,0.8612252751899249,1077968.0
20110627_5,47,0,1,777.5,0.5045646562510576,1002268.0
20110627_6,47,0,1,381.0,0.8757148926338143,996938.0
