stem,storage_day,gt_class,pred_class,area,circularity,opt_volume
20110511_1,0,0,1,21728.5,0.2431755017652394,24972688.0
20110511_2,0,0,1,12860.5,0.551876199949065,22184274.0
20110511_3,0,0,1,17669.5,0.36900499607439013,32522070.0
20110511_4,0,0,1,37909.5,0.16423682058047895,27860462.0
20110511_5,0,0,1,14581.0,0.39678021927648244,21619928.0
20110511_6,0,0,1,34455.5,0.29817069018855946,25070334.0
20110516_1,5,0,1,15926.5,0.4734115949808345,27447348.0
20110516_2,5,0,1,21023.5,0.350356915515774,31054680.0
20110516_3,5,0,1,43579.5,0.1696964124337302,40821824.0
20110516_5,5,0,1,22390.5,0.21879184928555773,32358392.0
20110516_6,5,0,1,41972.0,0.1815176074964389,27133276.0
20110516_7,5,0,1,22209.0,0.37616393892724503,37948060.0
20110519_1,8,0,1,81241.0,0.14309366792956796,35753072.0
20110519_10,8,0,1,42621.5,0.19068672066138867,35636116.0
20110519_4,8,0,1,28142.0,0.3405717249311258,31915816.0
20110519_5,8,0,1,54180.0,0.24678305834012743,25269368.0
20110519_7,8,0,1,56226.0,0.1616114779680006,33952336.0
20110519_8,8,0,1,66068.0,0.17429127430378485,28585790.0
20110523_2,12,0,1,60606.5,0.11850296581172956,35550104.0
20110523_3,12,0,1,127930.0,0.058465071725192774,41980824.0
20110523_4,12,0,1,35510.5,0.25463326337161296,39553408.0
20110523_6,12,0,1,66436.5,0.11418798670032256,34325980.0
20110523_7,12,0,1,48928.0,0.1697028087106514,37928416.0
20110523_9,12,0,1,48560.5,0.12643617000434568,39665732.0
20110526_2,15,0,1,73811.0,0.1325575604403484,41951508.0
20110526_3,15,0,1,193806.0,0.11492446077120999,56886028.0
20110526_5,15,0,1,146012.5,0.10814594086746318,54829708.0
20110526_6,15,0,1,68810.0,0.17108078862246406,45786300.0
20110526_7,15,0,1,103990.0,0.09871284609570029,48607540.0
20110526_8,15,0,1,218716.5,0.08068440225765156,54348664.0
20110530_4,19,0,1,15485.5,0.4325375658806674,22747090.0
20110530_5,19,0,1,22585.5,0.41128520565803756,23054618.0
20110530_6,19,0,1,21811.0,0.32602399884510547,26880418.0
20110530_7,19,0,1,16744.0,0.30013292459556834,27074826.0
20110530_8,19,0,1,30147.5,0.21173985539691795,27968436.0
20110530_9,19,0,1,14329.5,0.481037168270553,19480744.0
20110603_1,23,0,1,5655.0,0.48094341227808707,8099690.5
20110603_10,23,0,1,23268.0,0.26610688107536284,21384620.0
20110603_3,23,0,1,14823.5,0.4107500702226525,21145060.0
20110603_5,23,0,1,15081.0,0.4179797210958646,25297754.0
20110603_6,23,0,1,16596.5,0.29988771859775065,22118210.0
20110603_9,23,0,1,10099.0,0.5161685326808279,17880586.0
20110607_1,27,0,1,14549.0,0.38894290974170853,12396674.0
20110607_2,27,0,1,10813.5,0.502203150640146,12651777.0
20110607_3,27,0,1,14010.0,0.333986182987295,12774960.0
20110607_4,27,0,1,11535.5,0.5320479726250996,12393803.0
20110607_7,27,0,1,18849.0,0.4019636489079968,22563018.0
20110607_9,27,0,1,11943.5,0.5412272506339031,18911532.0
20110610_1,30,0,1,42117.0,0.14297641208947431,32115690.0
20110610_10,30,0,1,19504.5,0.293692745434832,22437946.0
20110610_3,30,0,1,26664.0,0.18245931004832816,30091750.0
20110610_4,30,0,1,28659.0,0.24296520460549648,29927328.0
20110610_6,30,0,1,13693.0,0.3762381896156089,27845644.0
20110610_9,30,0,1,13393.5,0.28869864800623457,18433498.0
20110617_1,37,0,1,9057.5,0.5536652991730231,14584046.0
20110617_10,37,0,1,8620.0,0.5849351827919753,9970121.0
20110617_3,37,0,1,16336.0,0.4333131586108509,21789464.0
20110617_6,37,0,2,19625.5,0.29998253720736473,20889948.0
20110617_8,37,0,1,9214.0,0.5590355838698436,16249171.0
20110617_9,37,0,1,12985.0,0.5341607712180403,12066111.0
20110627_1,47,0,2,9843.5,0.465503930917664,19611902.0
20110627_10,47,0,2,8031.0,0.5977993128577371,19756106.0
20110627_3,47,0,3,7923.5,0.4640705586399415,23541322.0
20110627_4,47,0,2,6482.5,0.882590654692723,18824680.0
20110627_5,47,0,2,12653.5,0.5395664355277434,18064480.0
20110627_6,47,0,2,10858.0,0.3224524524463596,15969254.0
